datetime,HPI_inf,Fips,HPI_pre
2013-07-01,314.0339268042772,1,315.0845054851653
2013-07-01,340.01268095317334,2,347.83654659000865
2013-07-01,324.65431616558806,4,340.24201474904
2013-07-01,282.69920043437526,5,273.9020178790577
2013-07-01,513.1318941735925,6,558.2052955235392
2013-07-01,410.21253908063096,8,418.15774594467956
2013-07-01,436.7864012540833,9,438.337077181316
2013-07-01,465.2028094266423,10,489.72818749807266
2013-07-01,746.6202387312042,11,742.7838238464653
2013-07-01,338.51346650669524,12,389.253223964682
2013-07-01,301.4565475929835,13,318.310674583122
2013-07-01,549.353372975908,15,577.920953354893
2013-07-01,323.1436573340223,16,331.0783062857926
2013-07-01,339.3489066180914,17,334.1559002466717
2013-07-01,278.4533335668684,18,265.6737834051953
2013-07-01,289.291166244844,19,294.9381917779512
2013-07-01,269.33215865203573,20,268.0187759304552
2013-07-01,327.29796912082816,21,327.6427047483755
2013-07-01,282.0354260992933,22,273.3962363630145
2013-07-01,509.00047115696185,23,528.8837449228325
2013-07-01,471.5315543800958,24,498.334191138708
2013-07-01,708.9109898674982,25,761.2385007955825
2013-07-01,283.5689737010343,26,291.32664495430265
2013-07-01,356.88170457232434,27,388.55730421730823
2013-07-01,272.83414048884725,28,258.091955474255
2013-07-01,307.876847627138,29,314.5063672280906
2013-07-01,420.7642621314161,30,434.67703551718483
2013-07-01,296.1120197570652,31,317.1325182894123
2013-07-01,258.9864345328278,32,294.3912787374822
2013-07-01,434.08552637340506,33,484.75585704620073
2013-07-01,520.7080771015966,34,534.849574485012
2013-07-01,323.88754236471755,35,332.6330556523457
2013-07-01,643.0371093031607,36,656.8120912639771
2013-07-01,343.331552628583,37,342.6522592203685
2013-07-01,357.21359173986536,38,358.9906952160142
2013-07-01,269.9043779064167,39,270.39021506101426
2013-07-01,237.48243495319082,40,223.1841782168595
2013-07-01,428.4091113699458,41,471.85689285592906
2013-07-01,421.3822589261475,42,421.35601410851245
2013-07-01,504.2052738052493,44,554.1461095050465
2013-07-01,348.5501922285374,45,366.20903381543275
2013-07-01,353.1393906486728,46,377.88158840303436
