StateName,Fips,Year,Month,total_number_hpa,datetime,total_number_hpa_seasonality
Delaware,10,2005,6,911,2005-06-01,881.6078869047619
District of Columbia,11,2005,6,311,2005-06-01,285.81374007936506
Florida,12,2005,6,26561,2005-06-01,26015.997023809523
Georgia,13,2005,6,8777,2005-06-01,8366.208581349207
Maryland,24,2005,6,3310,2005-06-01,3040.171378968254
North Carolina,37,2005,6,9163,2005-06-01,8819.739583333334
South Carolina,45,2005,6,5663,2005-06-01,5496.25
Virginia,51,2005,6,7165,2005-06-01,6827.375744047619
West Virginia,54,2005,6,591,2005-06-01,558.2755456349206
Alabama,1,2005,6,2207,2005-06-01,2042.9407242063492
Kentucky,21,2005,6,2011,2005-06-01,1807.1788194444443
Mississippi,28,2005,6,1207,2005-06-01,1075.6505456349207
Tennessee,47,2005,6,4553,2005-06-01,4384.018849206349
Arkansas,5,2005,6,1247,2005-06-01,1145.1750992063492
Louisiana,22,2005,6,2027,2005-06-01,1920.7410714285716
Oklahoma,40,2005,6,1735,2005-06-01,1677.485615079365
Texas,48,2005,6,18544,2005-06-01,17076.389384920636
Arizona,4,2005,6,8737,2005-06-01,8226.103174603175
Colorado,8,2005,6,4359,2005-06-01,3942.8700396825398
Idaho,16,2005,6,2048,2005-06-01,1895.154761904762
Montana,30,2005,6,393,2005-06-01,305.82167658730157
Nevada,32,2005,6,5509,2005-06-01,5146.246527777777
New Mexico,35,2005,6,1347,2005-06-01,1263.2785218253969
Utah,49,2005,6,2585,2005-06-01,2272.5858134920636
Wyoming,56,2005,6,305,2005-06-01,251.6344246031746
Alaska,2,2005,6,357,2005-06-01,318.297123015873
California,6,2005,6,19869,2005-06-01,18285.217261904763
Hawaii,15,2005,6,841,2005-06-01,749.9335317460318
Oregon,41,2005,6,2826,2005-06-01,2780.1021825396824
Washington,53,2005,6,5041,2005-06-01,4681.2827380952385
Connecticut,9,2005,7,983,2005-07-01,933.3670634920635
Maine,23,2005,7,793,2005-07-01,731.0354662698412
Massachusetts,25,2005,7,2270,2005-07-01,2170.5788690476193
New Hampshire,33,2005,7,626,2005-07-01,579.2425595238095
Rhode Island,44,2005,7,238,2005-07-01,243.56944444444446
Vermont,50,2005,7,286,2005-07-01,263.5887896825397
New Jersey,34,2005,7,3000,2005-07-01,2972.6584821428573
New York,36,2005,7,5270,2005-07-01,5195.409722222223
Pennsylvania,42,2005,7,4511,2005-07-01,4337.524305555556
Illinois,17,2005,7,6134,2005-07-01,6026.957341269841
Indiana,18,2005,7,3207,2005-07-01,3053.8365575396824
Michigan,26,2005,7,4352,2005-07-01,4067.3330853174602
Ohio,39,2005,7,5378,2005-07-01,5065.356150793651
Wisconsin,55,2005,7,3270,2005-07-01,2842.286458333333
Iowa,19,2005,7,1609,2005-07-01,1550.969990079365
Kansas,20,2005,7,1367,2005-07-01,1330.3618551587301
Minnesota,27,2005,7,3621,2005-07-01,3293.4476686507937
Missouri,29,2005,7,2619,2005-07-01,2650.9461805555557
Nebraska,31,2005,7,1017,2005-07-01,955.6423611111111
North Dakota,38,2005,7,228,2005-07-01,90.36160714285714
South Dakota,46,2005,7,510,2005-07-01,487.7532242063492
Delaware,10,2005,7,683,2005-07-01,655.4561011904761
District of Columbia,11,2005,7,147,2005-07-01,163.031001984127
Florida,12,2005,7,23529,2005-07-01,23474.86011904762
Georgia,13,2005,7,7878,2005-07-01,7966.815724206349
Maryland,24,2005,7,2062,2005-07-01,2055.8082837301586
North Carolina,37,2005,7,8136,2005-07-01,7760.834821428572
South Carolina,45,2005,7,4010,2005-07-01,3937.7648809523807
Virginia,51,2005,7,5208,2005-07-01,4861.780505952381
West Virginia,54,2005,7,450,2005-07-01,413.3410218253968
Alabama,1,2005,7,2663,2005-07-01,2628.107390873016
Kentucky,21,2005,7,1846,2005-07-01,1779.4258432539682
Mississippi,28,2005,7,995,2005-07-01,961.9481646825396
Tennessee,47,2005,7,3715,2005-07-01,3760.1378968253966
Arkansas,5,2005,7,1444,2005-07-01,1438.4935515873017
Louisiana,22,2005,7,1827,2005-07-01,1886.0625
Oklahoma,40,2005,7,1398,2005-07-01,1445.6284722222222
Texas,48,2005,7,18154,2005-07-01,17489.704861111113
Arizona,4,2005,7,7390,2005-07-01,7276.144841269841
Colorado,8,2005,7,4233,2005-07-01,4161.825396825397
Idaho,16,2005,7,1934,2005-07-01,1834.3005952380952
Montana,30,2005,7,472,2005-07-01,423.74131944444446
Nevada,32,2005,7,4256,2005-07-01,4332.532242063492
New Mexico,35,2005,7,1139,2005-07-01,1128.811259920635
Utah,49,2005,7,2104,2005-07-01,2017.5024801587301
Wyoming,56,2005,7,281,2005-07-01,260.77728174603175
Alaska,2,2005,7,245,2005-07-01,234.17509920634922
California,6,2005,7,17048,2005-07-01,17292.39285714286
Hawaii,15,2005,7,589,2005-07-01,676.7013888888889
Oregon,41,2005,7,2712,2005-07-01,2559.373015873016
Washington,53,2005,7,5079,2005-07-01,4971.651785714285
Connecticut,9,2005,8,1055,2005-08-01,1023.0515873015873
Maine,23,2005,8,921,2005-08-01,866.2557043650794
Massachusetts,25,2005,8,1959,2005-08-01,2023.9151785714287
New Hampshire,33,2005,8,788,2005-08-01,740.3943452380952
Rhode Island,44,2005,8,209,2005-08-01,196.5843253968254
Vermont,50,2005,8,324,2005-08-01,294.97271825396825
New Jersey,34,2005,8,3455,2005-08-01,3322.545386904762
New York,36,2005,8,5093,2005-08-01,5249.019841269841
Pennsylvania,42,2005,8,4193,2005-08-01,4108.66121031746
Illinois,17,2005,8,6891,2005-08-01,6652.903769841269
Indiana,18,2005,8,3942,2005-08-01,3693.7770337301586
Michigan,26,2005,8,4685,2005-08-01,4347.633680555556
Ohio,39,2005,8,5533,2005-08-01,5141.263888888889
Wisconsin,55,2005,8,3391,2005-08-01,3186.8340773809523
Iowa,19,2005,8,1502,2005-08-01,1315.4878472222222
Kansas,20,2005,8,1172,2005-08-01,1111.1445932539682
Minnesota,27,2005,8,3293,2005-08-01,2944.9357638888887
Missouri,29,2005,8,2941,2005-08-01,2716.642609126984
Nebraska,31,2005,8,1018,2005-08-01,955.4816468253969
North Dakota,38,2005,8,362,2005-08-01,241.1502976190476
South Dakota,46,2005,8,468,2005-08-01,401.46453373015873
Delaware,10,2005,8,765,2005-08-01,725.0721726190476
District of Columbia,11,2005,8,13,2005-08-01,-3.2249503968253883
Florida,12,2005,8,26831,2005-08-01,26344.9375
Georgia,13,2005,8,10724,2005-08-01,10381.25322420635
Maryland,24,2005,8,3182,2005-08-01,2974.3380456349205
North Carolina,37,2005,8,9413,2005-08-01,8908.370535714286
South Carolina,45,2005,8,4855,2005-08-01,4743.375
Virginia,51,2005,8,5685,2005-08-01,5592.343005952381
West Virginia,54,2005,8,560,2005-08-01,514.6267361111111
Alabama,1,2005,8,2471,2005-08-01,2317.857390873016
Kentucky,21,2005,8,1671,2005-08-01,1546.6639384920636
Mississippi,28,2005,8,1315,2005-08-01,1285.7606646825398
Tennessee,47,2005,8,4850,2005-08-01,4521.253968253968
Arkansas,5,2005,8,1495,2005-08-01,1389.8000992063492
Louisiana,22,2005,8,2006,2005-08-01,1904.7738095238096
Oklahoma,40,2005,8,1658,2005-08-01,1564.3308531746031
Texas,48,2005,8,20567,2005-08-01,19388.832837301587
Arizona,4,2005,8,8444,2005-08-01,8333.77876984127
Colorado,8,2005,8,3956,2005-08-01,3742.5753968253966
Idaho,16,2005,8,2337,2005-08-01,2169.1934523809523
Montana,30,2005,8,583,2005-08-01,512.3514384920635
Nevada,32,2005,8,4569,2005-08-01,4392.282242063492
New Mexico,35,2005,8,1203,2005-08-01,1149.9570932539682
Utah,49,2005,8,2812,2005-08-01,2549.3685515873017
Wyoming,56,2005,8,303,2005-08-01,268.08978174603175
Alaska,2,2005,8,248,2005-08-01,221.19890873015873
California,6,2005,8,17076,2005-08-01,17136.04761904762
Hawaii,15,2005,8,858,2005-08-01,847.421626984127
Oregon,41,2005,8,2959,2005-08-01,2784.8611111111113
Washington,53,2005,8,4575,2005-08-01,4032.1875
Connecticut,9,2005,9,1151,2005-09-01,1105.5992063492063
Maine,23,2005,9,962,2005-09-01,900.8836805555555
Massachusetts,25,2005,9,1776,2005-09-01,1734.9806547619048
New Hampshire,33,2005,9,756,2005-09-01,713.6383928571429
Rhode Island,44,2005,9,337,2005-09-01,334.1200396825397
Vermont,50,2005,9,339,2005-09-01,302.13640873015873
New Jersey,34,2005,9,2851,2005-09-01,2855.982886904762
New York,36,2005,9,6012,2005-09-01,6229.481150793651
Pennsylvania,42,2005,9,4177,2005-09-01,4016.9796626984125
Illinois,17,2005,9,6439,2005-09-01,6242.876984126984
Indiana,18,2005,9,3167,2005-09-01,3105.1817956349205
Michigan,26,2005,9,4100,2005-09-01,3854.0920138888887
Ohio,39,2005,9,5279,2005-09-01,5097.9484126984125
Wisconsin,55,2005,9,3685,2005-09-01,3428.5007440476193
Iowa,19,2005,9,1742,2005-09-01,1585.2765376984128
Kansas,20,2005,9,1203,2005-09-01,1093.0969742063492
Minnesota,27,2005,9,3574,2005-09-01,3202.548859126984
Missouri,29,2005,9,2349,2005-09-01,2363.5711805555557
Nebraska,31,2005,9,969,2005-09-01,910.3090277777778
North Dakota,38,2005,9,369,2005-09-01,225.44196428571428
South Dakota,46,2005,9,650,2005-09-01,537.4258432539682
Delaware,10,2005,9,773,2005-09-01,771.3311011904761
District of Columbia,11,2005,9,22,2005-09-01,-2.915426587301585
Florida,12,2005,9,26167,2005-09-01,26331.839285714286
Georgia,13,2005,9,9355,2005-09-01,9646.896081349207
Maryland,24,2005,9,2384,2005-09-01,2323.701140873016
North Carolina,37,2005,9,8245,2005-09-01,8561.730654761905
South Carolina,45,2005,9,4496,2005-09-01,4509.5922619047615
Virginia,51,2005,9,4408,2005-09-01,4526.652529761905
West Virginia,54,2005,9,519,2005-09-01,525.0523313492064
Alabama,1,2005,9,2015,2005-09-01,2150.6579861111113
Kentucky,21,2005,9,1460,2005-09-01,1463.482390873016
Mississippi,28,2005,9,1316,2005-09-01,1367.7695932539682
Tennessee,47,2005,9,3797,2005-09-01,3826.6378968253966
Arkansas,5,2005,9,1170,2005-09-01,1183.1899801587301
Louisiana,22,2005,9,1653,2005-09-01,1580.0416666666667
Oklahoma,40,2005,9,1618,2005-09-01,1639.202876984127
Texas,48,2005,9,16718,2005-09-01,17653.139384920636
Arizona,4,2005,9,7920,2005-09-01,8056.805555555556
Colorado,8,2005,9,4367,2005-09-01,4308.465277777777
Idaho,16,2005,9,2088,2005-09-01,2042.3779761904761
Montana,30,2005,9,483,2005-09-01,438.7204861111111
Nevada,32,2005,9,4958,2005-09-01,5012.841765873016
New Mexico,35,2005,9,1205,2005-09-01,1244.4035218253969
Utah,49,2005,9,2564,2005-09-01,2549.0739087301586
