region,sub_region,StateName,Fips,Year,Month,total_number_hpa
Midwest,West North Central,Missouri,29,2005,9,2349
Midwest,West North Central,Nebraska,31,2005,9,969
Midwest,West North Central,North Dakota,38,2005,9,369
Midwest,West North Central,South Dakota,46,2005,9,650
South,South Atlantic,Delaware,10,2005,9,773
South,South Atlantic,District of Columbia,11,2005,9,22
South,South Atlantic,Florida,12,2005,9,26167
South,South Atlantic,Georgia,13,2005,9,9355
South,South Atlantic,Maryland,24,2005,9,2384
South,South Atlantic,North Carolina,37,2005,9,8245
South,South Atlantic,South Carolina,45,2005,9,4496
South,South Atlantic,Virginia,51,2005,9,4408
South,South Atlantic,West Virginia,54,2005,9,519
South,East South Central,Alabama,1,2005,9,2015
South,East South Central,Kentucky,21,2005,9,1460
South,East South Central,Mississippi,28,2005,9,1316
South,East South Central,Tennessee,47,2005,9,3797
South,West South Central,Arkansas,5,2005,9,1170
South,West South Central,Louisiana,22,2005,9,1653
South,West South Central,Oklahoma,40,2005,9,1618
South,West South Central,Texas,48,2005,9,16718
West,Mountain,Arizona,4,2005,9,7920
West,Mountain,Colorado,8,2005,9,4367
West,Mountain,Idaho,16,2005,9,2088
West,Mountain,Montana,30,2005,9,483
West,Mountain,Nevada,32,2005,9,4958
West,Mountain,New Mexico,35,2005,9,1205
West,Mountain,Utah,49,2005,9,2564
West,Mountain,Wyoming,56,2005,9,317
West,Pacific,Alaska,2,2005,9,308
West,Pacific,California,6,2005,9,20329
West,Pacific,Hawaii,15,2005,9,1130
West,Pacific,Oregon,41,2005,9,2861
West,Pacific,Washington,53,2005,9,4771
North East,New England,Connecticut,9,2005,10,841
North East,New England,Maine,23,2005,10,733
North East,New England,Massachusetts,25,2005,10,1969
North East,New England,New Hampshire,33,2005,10,786
North East,New England,Rhode Island,44,2005,10,190
North East,New England,Vermont,50,2005,10,230
North East,mid atlantic,New Jersey,34,2005,10,3118
North East,mid atlantic,New York,36,2005,10,4029
North East,mid atlantic,Pennsylvania,42,2005,10,4136
Midwest,East North Central,Illinois,17,2005,10,6065
Midwest,East North Central,Indiana,18,2005,10,3989
Midwest,East North Central,Michigan,26,2005,10,3956
Midwest,East North Central,Ohio,39,2005,10,4962
Midwest,East North Central,Wisconsin,55,2005,10,3778
Midwest,West North Central,Iowa,19,2005,10,1614
Midwest,West North Central,Kansas,20,2005,10,1201
Midwest,West North Central,Minnesota,27,2005,10,3826
Midwest,West North Central,Missouri,29,2005,10,2465
Midwest,West North Central,Nebraska,31,2005,10,1392
Midwest,West North Central,North Dakota,38,2005,10,449
Midwest,West North Central,South Dakota,46,2005,10,438
South,South Atlantic,Delaware,10,2005,10,708
South,South Atlantic,District of Columbia,11,2005,10,54
South,South Atlantic,Florida,12,2005,10,20480
South,South Atlantic,Georgia,13,2005,10,8636
South,South Atlantic,Maryland,24,2005,10,2299
South,South Atlantic,North Carolina,37,2005,10,7856
South,South Atlantic,South Carolina,45,2005,10,4331
South,South Atlantic,Virginia,51,2005,10,4949
South,South Atlantic,West Virginia,54,2005,10,346
South,East South Central,Alabama,1,2005,10,2538
South,East South Central,Kentucky,21,2005,10,1445
South,East South Central,Mississippi,28,2005,10,1108
South,East South Central,Tennessee,47,2005,10,3500
South,West South Central,Arkansas,5,2005,10,1470
South,West South Central,Louisiana,22,2005,10,1590
South,West South Central,Oklahoma,40,2005,10,1349
South,West South Central,Texas,48,2005,10,17033
West,Mountain,Arizona,4,2005,10,7691
West,Mountain,Colorado,8,2005,10,3401
West,Mountain,Idaho,16,2005,10,1639
West,Mountain,Montana,30,2005,10,562
West,Mountain,Nevada,32,2005,10,3283
West,Mountain,New Mexico,35,2005,10,1243
West,Mountain,Utah,49,2005,10,2292
West,Mountain,Wyoming,56,2005,10,337
West,Pacific,Alaska,2,2005,10,199
West,Pacific,California,6,2005,10,14147
West,Pacific,Hawaii,15,2005,10,849
West,Pacific,Oregon,41,2005,10,2696
West,Pacific,Washington,53,2005,10,4427
North East,New England,Connecticut,9,2005,11,1147
North East,New England,Maine,23,2005,11,594
North East,New England,Massachusetts,25,2005,11,1776
North East,New England,New Hampshire,33,2005,11,493
North East,New England,Rhode Island,44,2005,11,237
North East,New England,Vermont,50,2005,11,126
North East,mid atlantic,New Jersey,34,2005,11,2863
North East,mid atlantic,New York,36,2005,11,5280
North East,mid atlantic,Pennsylvania,42,2005,11,4034
Midwest,East North Central,Illinois,17,2005,11,5961
Midwest,East North Central,Indiana,18,2005,11,2917
Midwest,East North Central,Michigan,26,2005,11,3784
Midwest,East North Central,Ohio,39,2005,11,4565
Midwest,East North Central,Wisconsin,55,2005,11,2745
Midwest,West North Central,Iowa,19,2005,11,1482
Midwest,West North Central,Kansas,20,2005,11,1621
Midwest,West North Central,Minnesota,27,2005,11,3244
Midwest,West North Central,Missouri,29,2005,11,2287
Midwest,West North Central,Nebraska,31,2005,11,701
Midwest,West North Central,North Dakota,38,2005,11,214
Midwest,West North Central,South Dakota,46,2005,11,524
South,South Atlantic,Delaware,10,2005,11,652
South,South Atlantic,District of Columbia,11,2005,11,6
South,South Atlantic,Florida,12,2005,11,19308
South,South Atlantic,Georgia,13,2005,11,7341
South,South Atlantic,Maryland,24,2005,11,2046
South,South Atlantic,North Carolina,37,2005,11,7394
South,South Atlantic,South Carolina,45,2005,11,4298
South,South Atlantic,Virginia,51,2005,11,4103
South,South Atlantic,West Virginia,54,2005,11,379
South,East South Central,Alabama,1,2005,11,2720
South,East South Central,Kentucky,21,2005,11,1303
South,East South Central,Mississippi,28,2005,11,1025
South,East South Central,Tennessee,47,2005,11,3596
South,West South Central,Arkansas,5,2005,11,1043
South,West South Central,Louisiana,22,2005,11,1832
South,West South Central,Oklahoma,40,2005,11,1934
South,West South Central,Texas,48,2005,11,14295
West,Mountain,Arizona,4,2005,11,5617
West,Mountain,Colorado,8,2005,11,3251
West,Mountain,Idaho,16,2005,11,1510
