Fips,Month,Unemployment Rate,Year
9,7,4.4,2017
9,8,4.4,2017
9,9,4.3,2017
9,10,4.3,2017
9,11,4.3,2017
9,12,4.3,2017
9,1,4.2,2018
9,2,4.2,2018
9,3,4.1,2018
9,4,4.0,2018
9,5,4.0,2018
9,6,3.9,2018
9,7,3.8,2018
9,8,3.8,2018
9,9,3.8,2018
9,10,3.8,2018
9,11,3.7,2018
9,12,3.7,2018
9,1,3.7,2019
9,2,3.7,2019
9,3,3.6,2019
9,4,3.6,2019
9,5,3.5,2019
9,6,3.5,2019
9,7,3.5,2019
9,8,3.6,2019
9,9,3.6,2019
9,10,3.6,2019
9,11,3.6,2019
9,12,3.6,2019
9,1,3.7,2020
9,2,3.7,2020
9,3,3.8,2020
9,4,8.6,2020
9,5,11.4,2020
9,6,11.4,2020
9,7,11.3,2020
9,8,8.4,2020
9,9,8.3,2020
9,10,8.2,2020
9,11,8.2,2020
9,12,8.2,2020
9,1,8.1,2021
9,2,8.5,2021
9,3,8.3,2021
9,4,8.1,2021
9,5,8.1,2021
9,6,7.7,2021
9,7,7.3,2021
9,8,7.2,2021
9,9,6.8,2021
9,10,6.4,2021
10,1,3.4,2000
10,2,3.4,2000
10,3,3.5,2000
10,4,3.5,2000
10,5,3.6,2000
10,6,3.7,2000
10,7,3.7,2000
10,8,3.7,2000
10,9,3.7,2000
10,10,3.7,2000
10,11,3.7,2000
10,12,3.7,2000
10,1,3.6,2001
10,2,3.6,2001
10,3,3.5,2001
10,4,3.4,2001
10,5,3.3,2001
10,6,3.3,2001
10,7,3.4,2001
10,8,3.5,2001
10,9,3.6,2001
10,10,3.8,2001
10,11,3.9,2001
10,12,4.0,2001
10,1,4.2,2002
10,2,4.3,2002
10,3,4.4,2002
10,4,4.4,2002
10,5,4.4,2002
10,6,4.3,2002
10,7,4.3,2002
10,8,4.2,2002
10,9,4.1,2002
10,10,4.1,2002
10,11,4.2,2002
10,12,4.3,2002
10,1,4.4,2003
10,2,4.5,2003
10,3,4.5,2003
10,4,4.6,2003
10,5,4.6,2003
10,6,4.6,2003
10,7,4.6,2003
10,8,4.5,2003
10,9,4.4,2003
10,10,4.4,2003
10,11,4.3,2003
10,12,4.2,2003
10,1,4.1,2004
10,2,4.1,2004
10,3,4.2,2004
10,4,4.2,2004
10,5,4.2,2004
10,6,4.3,2004
10,7,4.3,2004
10,8,4.4,2004
10,9,4.4,2004
10,10,4.4,2004
10,11,4.5,2004
10,12,4.5,2004
10,1,4.5,2005
10,2,4.5,2005
10,3,4.5,2005
10,4,4.5,2005
10,5,4.5,2005
10,6,4.5,2005
10,7,4.5,2005
10,8,4.6,2005
10,9,4.6,2005
10,10,4.5,2005
10,11,4.5,2005
10,12,4.4,2005
10,1,4.3,2006
10,2,4.1,2006
10,3,4.0,2006
10,4,4.0,2006
10,5,4.0,2006
10,6,4.0,2006
10,7,3.9,2006
10,8,3.9,2006
10,9,3.8,2006
10,10,3.7,2006
10,11,3.6,2006
10,12,3.6,2006
10,1,3.6,2007
10,2,3.6,2007
10,3,3.6,2007
10,4,3.6,2007
10,5,3.6,2007
10,6,3.5,2007
10,7,3.5,2007
10,8,3.5,2007
10,9,3.6,2007
10,10,3.7,2007
10,11,3.7,2007
10,12,3.8,2007
10,1,3.9,2008
10,2,4.0,2008
10,3,4.1,2008
10,4,4.2,2008
10,5,4.5,2008
10,6,4.7,2008
10,7,5.0,2008
10,8,5.3,2008
10,9,5.6,2008
10,10,6.0,2008
10,11,6.3,2008
10,12,6.8,2008
10,1,7.2,2009
10,2,7.6,2009
10,3,7.9,2009
10,4,8.2,2009
10,5,8.3,2009
10,6,8.4,2009
10,7,8.5,2009
10,8,8.6,2009
10,9,8.7,2009
10,10,8.8,2009
10,11,8.9,2009
10,12,9.0,2009
10,1,9.1,2010
10,2,9.0,2010
10,3,9.0,2010
10,4,8.8,2010
10,5,8.7,2010
10,6,8.6,2010
10,7,8.6,2010
10,8,8.5,2010
10,9,8.5,2010
10,10,8.5,2010
10,11,8.4,2010
10,12,8.2,2010
10,1,8.1,2011
10,2,7.9,2011
10,3,7.8,2011
10,4,7.7,2011
10,5,7.7,2011
10,6,7.7,2011
10,7,7.6,2011
10,8,7.6,2011
10,9,7.5,2011
10,10,7.4,2011
10,11,7.2,2011
10,12,7.1,2011
10,1,7.0,2012
10,2,7.0,2012
10,3,7.0,2012
10,4,7.0,2012
10,5,7.1,2012
10,6,7.1,2012
10,7,7.1,2012
10,8,7.1,2012
10,9,7.1,2012
10,10,7.1,2012
10,11,7.1,2012
10,12,7.1,2012
10,1,7.1,2013
10,2,7.0,2013
10,3,7.0,2013
10,4,6.9,2013
10,5,6.8,2013
10,6,6.7,2013
10,7,6.6,2013
10,8,6.5,2013
10,9,6.3,2013
10,10,6.2,2013
10,11,6.1,2013
10,12,6.1,2013
10,1,6.0,2014
10,2,6.0,2014
10,3,5.9,2014
10,4,5.8,2014
10,5,5.8,2014
10,6,5.7,2014
10,7,5.6,2014
10,8,5.5,2014
10,9,5.4,2014
10,10,5.3,2014
10,11,5.2,2014
10,12,5.1,2014
10,1,5.0,2015
10,2,4.9,2015
10,3,4.9,2015
10,4,4.9,2015
10,5,4.9,2015
10,6,4.8,2015
10,7,4.8,2015
10,8,4.7,2015
10,9,4.7,2015
10,10,4.7,2015
10,11,4.6,2015
10,12,4.6,2015
10,1,4.5,2016
10,2,4.5,2016
10,3,4.4,2016
10,4,4.4,2016
10,5,4.4,2016
10,6,4.5,2016
10,7,4.5,2016
10,8,4.5,2016
10,9,4.6,2016
10,10,4.6,2016
10,11,4.7,2016
10,12,4.7,2016
10,1,4.7,2017
10,2,4.6,2017
10,3,4.6,2017
10,4,4.5,2017
10,5,4.5,2017
10,6,4.4,2017
10,7,4.4,2017
10,8,4.4,2017
10,9,4.4,2017
10,10,4.4,2017
10,11,4.3,2017
10,12,4.2,2017
