HPI,Fips,Year,Month
541.38,15,2007,1
542.33,15,2007,4
539.67,15,2007,7
537.48,15,2007,10
532.33,15,2008,1
521.34,15,2008,4
506.05,15,2008,7
496.94,15,2008,10
493.88,15,2009,1
473.18,15,2009,4
459.7,15,2009,7
453.11,15,2009,10
452.77,15,2010,1
449.69,15,2010,4
452.44,15,2010,7
452.71,15,2010,10
443.31,15,2011,1
443.77,15,2011,4
446.87,15,2011,7
446.65,15,2011,10
448.38,15,2012,1
445.25,15,2012,4
453.53,15,2012,7
457.72,15,2012,10
461.04,15,2013,1
470.95,15,2013,4
480.02,15,2013,7
491.05,15,2013,10
495.07,15,2014,1
502.6,15,2014,4
512.4,15,2014,7
519.5,15,2014,10
531.53,15,2015,1
535.22,15,2015,4
543.03,15,2015,7
549.4,15,2015,10
564.76,15,2016,1
567.79,15,2016,4
578.42,15,2016,7
583.92,15,2016,10
585.04,15,2017,1
593.7,15,2017,4
602.19,15,2017,7
605.51,15,2017,10
612.37,15,2018,1
617.09,15,2018,4
622.85,15,2018,7
626.12,15,2018,10
633.09,15,2019,1
635.48,15,2019,4
641.46,15,2019,7
647.59,15,2019,10
646.88,15,2020,1
654.77,15,2020,4
647.75,15,2020,7
658.62,15,2020,10
667.27,15,2021,1
694.55,15,2021,4
199.84,16,2000,1
199.79,16,2000,4
201.43,16,2000,7
203.59,16,2000,10
208.9,16,2001,1
211.23,16,2001,4
212.38,16,2001,7
214.75,16,2001,10
215.23,16,2002,1
216.25,16,2002,4
219.56,16,2002,7
221.81,16,2002,10
223.83,16,2003,1
225.72,16,2003,4
227.57,16,2003,7
230.71,16,2003,10
233.42,16,2004,1
239.41,16,2004,4
247.62,16,2004,7
254.17,16,2004,10
260.19,16,2005,1
272.03,16,2005,4
288.21,16,2005,7
301.29,16,2005,10
312.03,16,2006,1
323.82,16,2006,4
332.68,16,2006,7
340.99,16,2006,10
345.85,16,2007,1
346.66,16,2007,4
347.23,16,2007,7
347.31,16,2007,10
348.73,16,2008,1
340.75,16,2008,4
330.95,16,2008,7
331.1,16,2008,10
332.01,16,2009,1
320.82,16,2009,4
306.9,16,2009,7
301.73,16,2009,10
291.94,16,2010,1
287.2,16,2010,4
285.98,16,2010,7
279.06,16,2010,10
264.1,16,2011,1
254.49,16,2011,4
259.2,16,2011,7
264.3,16,2011,10
261.83,16,2012,1
258.75,16,2012,4
264.49,16,2012,7
268.4,16,2012,10
270.97,16,2013,1
273.8,16,2013,4
282.36,16,2013,7
282.76,16,2013,10
287.3,16,2014,1
292.49,16,2014,4
296.78,16,2014,7
297.71,16,2014,10
303.48,16,2015,1
308.83,16,2015,4
315.2,16,2015,7
319.82,16,2015,10
324.17,16,2016,1
330.34,16,2016,4
341.38,16,2016,7
342.56,16,2016,10
349.28,16,2017,1
363.25,16,2017,4
371.05,16,2017,7
377.21,16,2017,10
389.17,16,2018,1
406.52,16,2018,4
417.83,16,2018,7
425.03,16,2018,10
433.57,16,2019,1
448.67,16,2019,4
458.6,16,2019,7
469.26,16,2019,10
479.99,16,2020,1
489.22,16,2020,4
506.7,16,2020,7
529.9,16,2020,10
557.65,16,2021,1
616.25,16,2021,4
241.69,17,2000,1
245.83,17,2000,4
249.87,17,2000,7
252.72,17,2000,10
256.03,17,2001,1
260.47,17,2001,4
265.3,17,2001,7
267.77,17,2001,10
272.39,17,2002,1
277.23,17,2002,4
280.79,17,2002,7
283.98,17,2002,10
286.96,17,2003,1
289.87,17,2003,4
293.97,17,2003,7
303.16,17,2003,10
306.42,17,2004,1
313.43,17,2004,4
323.77,17,2004,7
328.4,17,2004,10
335.14,17,2005,1
342.99,17,2005,4
350.18,17,2005,7
356.52,17,2005,10
361.22,17,2006,1
364.03,17,2006,4
366.79,17,2006,7
370.86,17,2006,10
373.11,17,2007,1
371.91,17,2007,4
368.9,17,2007,7
370.11,17,2007,10
368.54,17,2008,1
361.07,17,2008,4
348.95,17,2008,7
347.83,17,2008,10
346.37,17,2009,1
336.47,17,2009,4
325.85,17,2009,7
322.66,17,2009,10
317.4,17,2010,1
313.7,17,2010,4
316.97,17,2010,7
314.82,17,2010,10
304.08,17,2011,1
297.89,17,2011,4
300.07,17,2011,7
299.98,17,2011,10
296.19,17,2012,1
292.47,17,2012,4
295.77,17,2012,7
295.85,17,2012,10
294.0,17,2013,1
295.87,17,2013,4
296.52,17,2013,7
297.69,17,2013,10
298.54,17,2014,1
304.03,17,2014,4
308.24,17,2014,7
309.54,17,2014,10
312.77,17,2015,1
315.59,17,2015,4
316.72,17,2015,7
318.18,17,2015,10
319.7,17,2016,1
323.92,17,2016,4
328.47,17,2016,7
329.5,17,2016,10
328.4,17,2017,1
332.54,17,2017,4
336.58,17,2017,7
337.38,17,2017,10
339.1,17,2018,1
341.14,17,2018,4
342.42,17,2018,7
341.95,17,2018,10
344.97,17,2019,1
349.82,17,2019,4
353.17,17,2019,7
354.9,17,2019,10
356.44,17,2020,1
358.25,17,2020,4
362.13,17,2020,7
366.43,17,2020,10
370.25,17,2021,1
386.53,17,2021,4
206.03,18,2000,1
207.77,18,2000,4
210.6,18,2000,7
212.49,18,2000,10
216.99,18,2001,1
218.78,18,2001,4
220.29,18,2001,7
222.29,18,2001,10
223.94,18,2002,1
224.59,18,2002,4
227.03,18,2002,7
228.07,18,2002,10
229.89,18,2003,1
231.04,18,2003,4
232.65,18,2003,7
234.7,18,2003,10
236.01,18,2004,1
236.82,18,2004,4
239.48,18,2004,7
242.09,18,2004,10
243.72,18,2005,1
245.88,18,2005,4
249.54,18,2005,7
250.08,18,2005,10
250.12,18,2006,1
249.65,18,2006,4
251.06,18,2006,7
253.63,18,2006,10
254.42,18,2007,1
255.25,18,2007,4
254.18,18,2007,7
254.66,18,2007,10
256.6,18,2008,1
254.67,18,2008,4
250.77,18,2008,7
250.37,18,2008,10
254.22,18,2009,1
250.19,18,2009,4
245.78,18,2009,7
245.76,18,2009,10
242.35,18,2010,1
242.64,18,2010,4
245.79,18,2010,7
245.27,18,2010,10
239.9,18,2011,1
237.81,18,2011,4
240.64,18,2011,7
241.97,18,2011,10
239.71,18,2012,1
239.3,18,2012,4
241.4,18,2012,7
242.1,18,2012,10
242.11,18,2013,1
242.49,18,2013,4
243.31,18,2013,7
243.54,18,2013,10
243.27,18,2014,1
247.25,18,2014,4
249.71,18,2014,7
250.98,18,2014,10
253.73,18,2015,1
256.89,18,2015,4
