HPI,Fips,datetime,HPI_inf
264.59,19,2015-04-01,292.0606410250996
267.16,19,2015-07-01,292.05068322981367
268.75,19,2015-10-01,293.40838363374337
270.36,19,2016-01-01,293.9028116993312
273.07,19,2016-04-01,295.1717407667811
277.12,19,2016-07-01,295.7020740111703
278.37,19,2016-10-01,295.43409999025437
280.37,19,2017-01-01,295.54292213501543
284.0,19,2017-04-01,297.4832674719655
287.64,19,2017-07-01,298.4777480446262
288.67,19,2017-10-01,298.0613973333334
290.0,19,2018-01-01,297.39971827338474
295.44,19,2018-04-01,300.4883795321615
297.82,19,2018-07-01,300.2230711078884
298.26,19,2018-10-01,299.511402093227
300.1,19,2019-01-01,300.07253381603607
303.8,19,2019-04-01,301.2904328964521
306.78,19,2019-07-01,301.75315736294857
308.86,19,2019-10-01,301.3033959199102
179.07,20,2000-01-01,281.9381638554217
180.4,20,2000-04-01,280.8180107206671
182.99,20,2000-07-01,280.3415381008207
184.82,20,2000-10-01,281.33113104251606
188.46,20,2001-01-01,282.9173210798392
190.69,20,2001-04-01,284.1433204104903
192.84,20,2001-07-01,283.78751351351355
194.55,20,2001-10-01,287.7622410865875
197.14,20,2002-01-01,290.1154864864865
199.04,20,2002-04-01,289.8111108635098
201.01,20,2002-07-01,289.9336291390728
202.59,20,2002-10-01,291.890421168688
204.16,20,2003-01-01,292.7002611080636
205.58,20,2003-04-01,291.85436610537755
207.09,20,2003-07-01,291.15138461538464
210.36,20,2003-10-01,296.06725686591284
212.37,20,2004-01-01,297.93356521739133
214.58,20,2004-04-01,297.6784968152866
216.78,20,2004-07-01,296.79214667365113
219.44,20,2004-10-01,300.27664083769633
221.6,20,2005-01-01,301.9675495307612
224.71,20,2005-04-01,302.1101111111111
227.39,20,2005-07-01,302.2922197355035
228.54,20,2005-10-01,301.0645887096774
229.62,20,2006-01-01,300.067416
231.63,20,2006-04-01,300.14286960832925
233.59,20,2006-07-01,298.24661651196874
235.84,20,2006-10-01,301.5613620352251
237.22,20,2007-01-01,300.88674104738016
239.79,20,2007-04-01,300.52370708877396
239.13,20,2007-07-01,295.8029249453348
239.25,20,2007-10-01,296.7730575554934
240.94,20,2008-01-01,296.6966246395658
239.45,20,2008-04-01,291.2311042859138
236.53,20,2008-07-01,281.4966568006921
236.97,20,2008-10-01,284.9094878624363
239.78,20,2009-01-01,288.89263165658656
238.08,20,2009-04-01,286.5828541952599
236.36,20,2009-07-01,283.26134122016646
235.86,20,2009-10-01,284.5842778793419
234.11,20,2010-01-01,283.37149287947204
233.64,20,2010-04-01,282.9690284432664
236.26,20,2010-07-01,284.45757983379093
236.15,20,2010-10-01,285.609273484498
232.34,20,2011-01-01,280.1728456807497
228.74,20,2011-04-01,274.360771175901
231.44,20,2011-07-01,274.66357172047407
233.42,20,2011-10-01,277.1291244582943
231.65,20,2012-01-01,274.19688865741267
230.65,20,2012-04-01,271.9331474815276
232.83,20,2012-07-01,272.4948001934479
233.14,20,2012-10-01,272.3794875462657
234.01,20,2013-01-01,272.0799572934739
232.73,20,2013-04-01,269.1596505978247
235.34,20,2013-07-01,269.33215865203573
234.61,20,2013-10-01,268.5108275457388
235.46,20,2014-01-01,267.2669793621013
238.8,20,2014-04-01,269.38166248721353
242.45,20,2014-07-01,270.24941678217294
242.36,20,2014-10-01,270.1963435337878
244.32,20,2015-01-01,271.16578635581885
247.23,20,2015-04-01,272.89826630120325
250.29,20,2015-07-01,273.60894409937885
250.45,20,2015-10-01,273.4293197435201
252.42,20,2016-01-01,274.40060559677903
257.5,20,2016-04-01,278.3415360436743
261.44,20,2016-07-01,278.97066335695854
263.27,20,2016-10-01,279.4084689601403
262.95,20,2017-01-01,277.1801953682716
270.31,20,2017-04-01,283.1433170082641
272.86,20,2017-07-01,283.1408647318061
273.64,20,2017-10-01,282.5424213333333
277.84,20,2018-01-01,284.9294404313007
283.16,20,2018-04-01,287.9985430149162
284.19,20,2018-07-01,286.4830923985992
287.09,20,2018-10-01,288.29453640094056
288.71,20,2019-01-01,288.6835762680032
294.13,20,2019-04-01,291.70031279734513
297.96,20,2019-07-01,293.0776803177005
299.84,20,2019-10-01,292.50408027140406
218.76,21,2000-01-01,344.4283951807229
220.73,21,2000-04-01,343.5973365098273
222.58,21,2000-07-01,340.9936037514655
