"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.43253,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.33868,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.19978,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.14216,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-06",99.2692,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-07",99.5106,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-08",99.78556,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.0517,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.3202,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.6259,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2003-12",100.9939,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-01",101.3697,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-02",101.6675,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-03",101.8097,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-04",101.8448,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-05",101.8151,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-06",101.7307,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-07",101.609,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-08",101.45,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-09",101.2505,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-10",101.0543,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.9238,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.9092,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.9512,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9729,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.916,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.7965,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.633,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.4365,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.2457,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.119,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.1209,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.2447,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.512,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.9505,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-01",101.4286,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-02",101.776,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-03",101.8654,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-04",101.8245,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-05",101.8158,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-06",101.9458,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-07",102.1427,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-08",102.2916,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-09",102.3038,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-10",102.2328,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-11",102.1517,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2006-12",102.1131,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-01",102.1192,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-02",102.1681,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-03",102.2562,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-04",102.3364,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-05",102.3467,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-06",102.2446,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2007-07",102.1135,
