Unemployment Rate,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality,Fips,datetime,HPI,HPI_inf,IntRate,CCI
12.0,306,373.59375,1870296.1534246574,102.8109126984127,-12.055753968253967,125.32425595238095,155.60694444444445,60.48650793650794,228.80744047619046,182.76795634920634,13.903373015873017,108.70545634920634,103.89930555555556,83.86676587301588,50,2008-01-01,463.76,571.0800474925086,3.5,98.5033
10.6,7558,8481.12425595238,23233734.17808219,173.06994047619048,60.05243055555556,143.01666666666665,50.726884920634916,42.804811507936506,130.73864087301587,114.76661706349206,57.326488095238105,64.3530753968254,167.1904761904762,79.55540674603174,51,2008-01-01,459.81,566.2159665290892,3.5,98.5033
14.0,8364,9165.002976190475,19362114.715068493,189.18705357142858,98.05615079365079,140.49890873015872,30.049355158730158,76.56517857142858,82.26378968253968,149.2748511904762,63.75982142857143,84.08660714285713,206.42599206349206,311.25376984126984,53,2008-01-01,501.29,617.2949737095042,3.5,98.5033
14.5,1249,1346.4873511904761,5500625.205479452,32.09265873015873,9.827876984126984,246.84017857142857,3.6893849206349207,1.09265873015873,33.027628968253964,114.91081349206348,11.11140873015873,13.884325396825398,97.95803571428573,99.32624007936508,54,2008-01-01,215.42,265.27096737716965,3.5,98.5033
14.4,4389,4734.543898809524,16824067.684931505,138.0809523809524,92.6689484126984,147.16180555555556,46.219593253968256,42.91641865079365,112.71388888888889,85.24965277777778,95.62073412698412,118.37271825396826,135.26220238095237,42.622371031746034,55,2008-01-01,327.72,403.55863628653816,3.5,98.5033
8.0,548,616.8794642857142,1601584.112328767,151.67524801587302,88.50679563492065,241.8644841269841,-16.501587301587303,33.754067460317465,27.231150793650798,232.91299603174605,7.433333333333335,18.750297619047622,181.9674603174603,-4.041517857142858,56,2008-01-01,281.46,346.5934754339345,3.5,98.5033
14.100000000000001,4525,4591.926339285715,14041326.950819671,183.4984623015873,130.9217261904762,169.70709325396825,120.91810515873016,78.88095238095238,94.06676587301588,151.87142857142857,10.895535714285714,14.823313492063493,141.30749007936507,6.252926587301586,1,2008-04-01,303.4,369.0103029456932,2.25,96.97503
18.7,215,314.8169642857143,2044497.049180328,143.59707341269842,14.008829365079364,123.11944444444444,0.7334821428571423,89.31304563492063,125.17465277777778,138.87098214285714,117.89915674603175,15.446527777777781,134.37455357142858,-9.886904761904763,2,2008-04-01,287.58,349.7692251849784,2.25,96.97503
13.3,7238,7430.273809523809,18559691.3715847,207.378125,67.2251984126984,222.24960317460318,98.4688492063492,118.53462301587301,195.13551587301586,143.16736111111112,75.7798115079365,55.42465277777778,245.52450396825395,200.81636904761905,4,2008-04-01,369.73,449.6841770208014,2.25,96.97503
15.0,2280,2314.7336309523807,8558972.775956284,150.33090277777777,8.451091269841271,232.3798611111111,56.76909722222222,99.70069444444445,140.1483630952381,173.89756944444446,36.79300595238095,43.42564484126984,160.46641865079366,24.608531746031748,5,2008-04-01,256.33,311.7614072316069,2.25,96.97503
18.1,15926,17410.58035714286,108928913.28415301,151.94057539682538,47.182093253968254,127.88105158730158,86.97822420634921,63.31612103174603,113.24429563492063,100.0264880952381,34.77038690476191,54.19885912698413,169.87738095238095,238.9359126984127,6,2008-04-01,498.78,606.6412620410443,2.25,96.97503
12.7,5183,5681.264880952381,14454769.595628414,145.7003968253968,138.62683531746032,188.6654265873016,99.76334325396826,176.221875,134.82366071428572,147.94464285714287,41.340277777777786,82.14484126984127,228.6612103174603,136.4516369047619,8,2008-04-01,358.87,436.47570012564574,2.25,96.97503
14.7,1244,1538.5505952380954,10591014.524590164,117.58462301587302,50.146874999999994,132.99310515873015,102.94047619047619,69.21939484126983,182.23829365079365,156.47242063492064,26.590426587301586,90.62911706349206,157.99350198412696,155.59122023809525,9,2008-04-01,451.94,549.6721038670948,2.25,96.97503
12.0,979,1073.796875,2621342.6284153005,267.37232142857147,47.35788690476191,182.3622023809524,1.8135416666666684,-10.818998015873017,101.84161706349207,81.61378968253969,64.07638888888889,23.270337301587304,169.77529761904762,55.95158730158731,10,2008-04-01,486.21,591.3529973474801,2.25,96.97503
18.3,153,248.31919642857144,1726143.9344262294,222.0952380952381,29.708978174603175,145.93392857142857,76.79652777777778,109.04325396825396,157.67380952380952,124.65243055555555,52.61240079365079,70.53015873015873,156.79861111111111,94.95674603174604,11,2008-04-01,593.78,722.1850286192937,2.25,96.97503
13.2,18512,18147.315476190477,55183693.191256836,193.48804563492064,86.50952380952381,195.34429563492063,85.71626984126983,106.13412698412698,181.01750992063492,112.71959325396826,38.010664682539684,46.50168650793651,275.57624007936505,153.8718253968254,12,2008-04-01,395.3,480.7836939829681,2.25,96.97503
16.9,9728,9612.575148809523,28127814.601092897,194.65565476190477,58.34766865079365,193.05515873015872,117.44429563492064,94.85436507936508,160.88705357142857,117.096875,48.10019841269841,77.39930555555556,209.3330853174603,68.57643849206349,13,2008-04-01,321.96,391.58390618455957,2.25,96.97503
9.4,1014,1041.9345238095239,3955339.1857923497,148.29756944444446,92.82137896825398,100.19484126984128,7.456150793650793,129.33482142857142,214.1419642857143,134.0749503968254,3.9889880952380956,58.26448412698412,127.29925595238095,61.08928571428571,15,2008-04-01,521.34,634.0798659779423,2.25,96.97503
9.4,1648,2033.7380952380954,4530002.322404372,37.39335317460318,7.827083333333336,207.6060515873016,50.69970238095238,170.19568452380952,67.9859126984127,181.02589285714285,26.828472222222217,-1.7445436507936494,239.59598214285714,41.4328373015873,16,2008-04-01,340.75,414.4372469635628,2.25,96.97503
17.1,5441,6575.630952380952,38113323.81420765,215.2479166666667,62.89002976190476,132.75709325396826,44.92366071428572,94.9155753968254,180.05758928571427,101.2796626984127,27.175446428571426,46.75262896825397,148.16344246031747,106.30491071428571,17,2008-04-01,361.07,439.15145050956306,2.25,96.97503
14.5,3248,4180.622767857143,19161524.01639344,152.23988095238096,33.23774801587302,122.35248015873016,28.417063492063495,24.071130952380955,117.5218253968254,66.73735119047619,10.998660714285714,22.499206349206347,182.6642857142857,36.6467757936508,18,2008-04-01,254.67,309.7424319419238,2.25,96.97503
11.100000000000001,1411,2345.008184523809,9006444.87431694,100.0172123015873,34.62911706349206,101.58998015873016,53.13234126984127,4.617113095238094,181.59836309523808,77.17316468253968,3.077281746031746,39.858134920634924,101.22073412698413,12.73933531746032,19,2008-04-01,248.15,301.8124808041324,2.25,96.97503
12.7,2203,2556.9278273809523,8363566.868852459,112.42777777777778,76.55079365079365,127.68918650793651,25.060367063492063,43.00912698412699,163.29122023809524,133.7549107142857,87.65540674603176,114.76622023809523,190.425,18.81686507936508,20,2008-04-01,239.45,291.2311042859138,2.25,96.97503
16.2,2222,2484.0245535714284,12786709.726775955,112.36408730158729,24.694345238095238,122.49112103174603,65.59905753968255,61.497619047619054,153.43179563492063,115.31939484126984,40.179613095238096,19.39657738095238,153.56607142857143,9.454662698412697,21,2008-04-01,293.37,356.81131369537906,2.25,96.97503
12.299999999999999,4366,4521.857142857143,13156909.448087431,185.10124007936508,128.24588293650794,191.7096726190476,76.3530257936508,75.79246031746032,145.52782738095237,173.0078373015873,24.62559523809524,128.1653273809524,180.90570436507937,16.688690476190477,22,2008-04-01,246.95,300.3529805947229,2.25,96.97503
13.899999999999999,670,973.4129464285713,3982863.978142076,96.96855158730159,22.999999999999996,164.90515873015875,77.5092757936508,67.31825396825397,172.8203373015873,128.15411706349207,-2.6707341269841294,83.00535714285715,149.9923611111111,2.170337301587301,23,2008-04-01,498.92,606.8115370654755,2.25,96.97503
