geoName,Real Estate,year
New Jersey,61,2006-02-28
New Mexico,51,2006-02-28
New York,62,2006-02-28
North Carolina,70,2006-02-28
North Dakota,67,2006-02-28
Ohio,50,2006-02-28
Oklahoma,42,2006-02-28
Oregon,73,2006-02-28
Pennsylvania,51,2006-02-28
Rhode Island,58,2006-02-28
South Carolina,71,2006-02-28
South Dakota,13,2006-02-28
Tennessee,58,2006-02-28
Texas,48,2006-02-28
Utah,79,2006-02-28
Vermont,100,2006-02-28
Virginia,59,2006-02-28
Washington,76,2006-02-28
West Virginia,65,2006-02-28
Wisconsin,39,2006-02-28
Wyoming,97,2006-02-28
Alabama,62,2006-03-31
Alaska,37,2006-03-31
Arizona,71,2006-03-31
Arkansas,46,2006-03-31
California,48,2006-03-31
Colorado,42,2006-03-31
Connecticut,45,2006-03-31
Delaware,37,2006-03-31
District of Columbia,64,2006-03-31
Florida,51,2006-03-31
Georgia,47,2006-03-31
Hawaii,45,2006-03-31
Idaho,100,2006-03-31
Illinois,37,2006-03-31
Indiana,32,2006-03-31
Iowa,31,2006-03-31
Kansas,39,2006-03-31
Kentucky,32,2006-03-31
Louisiana,61,2006-03-31
Maine,49,2006-03-31
Maryland,53,2006-03-31
Massachusetts,44,2006-03-31
Michigan,30,2006-03-31
Minnesota,37,2006-03-31
Mississippi,54,2006-03-31
Missouri,37,2006-03-31
Montana,92,2006-03-31
Nebraska,50,2006-03-31
Nevada,59,2006-03-31
New Hampshire,49,2006-03-31
New Jersey,43,2006-03-31
New Mexico,40,2006-03-31
New York,56,2006-03-31
North Carolina,46,2006-03-31
North Dakota,33,2006-03-31
Ohio,34,2006-03-31
Oklahoma,36,2006-03-31
Oregon,59,2006-03-31
Pennsylvania,42,2006-03-31
Rhode Island,45,2006-03-31
South Carolina,67,2006-03-31
South Dakota,12,2006-03-31
Tennessee,44,2006-03-31
Texas,40,2006-03-31
Utah,82,2006-03-31
Vermont,92,2006-03-31
Virginia,55,2006-03-31
Washington,59,2006-03-31
West Virginia,27,2006-03-31
Wisconsin,19,2006-03-31
Wyoming,55,2006-03-31
Alabama,31,2006-04-30
Alaska,38,2006-04-30
Arizona,49,2006-04-30
Arkansas,51,2006-04-30
California,34,2006-04-30
Colorado,36,2006-04-30
Connecticut,48,2006-04-30
Delaware,35,2006-04-30
District of Columbia,35,2006-04-30
Florida,43,2006-04-30
Georgia,40,2006-04-30
Hawaii,47,2006-04-30
Idaho,72,2006-04-30
Illinois,30,2006-04-30
Indiana,22,2006-04-30
Iowa,18,2006-04-30
Kansas,28,2006-04-30
Kentucky,26,2006-04-30
Louisiana,36,2006-04-30
Maine,33,2006-04-30
Maryland,36,2006-04-30
Massachusetts,37,2006-04-30
Michigan,29,2006-04-30
Minnesota,25,2006-04-30
Mississippi,43,2006-04-30
Missouri,36,2006-04-30
Montana,100,2006-04-30
Nebraska,32,2006-04-30
Nevada,35,2006-04-30
New Hampshire,38,2006-04-30
New Jersey,37,2006-04-30
New Mexico,26,2006-04-30
New York,38,2006-04-30
North Carolina,42,2006-04-30
North Dakota,32,2006-04-30
Ohio,24,2006-04-30
Oklahoma,38,2006-04-30
Oregon,43,2006-04-30
Pennsylvania,31,2006-04-30
Rhode Island,28,2006-04-30
South Carolina,44,2006-04-30
South Dakota,26,2006-04-30
Tennessee,32,2006-04-30
Texas,31,2006-04-30
Utah,55,2006-04-30
Vermont,48,2006-04-30
Virginia,41,2006-04-30
Washington,47,2006-04-30
West Virginia,13,2006-04-30
Wisconsin,21,2006-04-30
Wyoming,46,2006-04-30
Alabama,35,2006-05-31
Alaska,31,2006-05-31
Arizona,48,2006-05-31
Arkansas,35,2006-05-31
California,36,2006-05-31
Colorado,32,2006-05-31
Connecticut,43,2006-05-31
Delaware,25,2006-05-31
District of Columbia,35,2006-05-31
Florida,39,2006-05-31
Georgia,36,2006-05-31
Hawaii,27,2006-05-31
Idaho,75,2006-05-31
Illinois,29,2006-05-31
Indiana,21,2006-05-31
Iowa,14,2006-05-31
Kansas,45,2006-05-31
Kentucky,28,2006-05-31
Louisiana,44,2006-05-31
Maine,34,2006-05-31
Maryland,38,2006-05-31
Massachusetts,42,2006-05-31
Michigan,31,2006-05-31
Minnesota,28,2006-05-31
Mississippi,43,2006-05-31
Missouri,36,2006-05-31
Montana,86,2006-05-31
Nebraska,32,2006-05-31
Nevada,55,2006-05-31
New Hampshire,33,2006-05-31
New Jersey,33,2006-05-31
New Mexico,52,2006-05-31
New York,39,2006-05-31
North Carolina,46,2006-05-31
North Dakota,49,2006-05-31
Ohio,29,2006-05-31
Oklahoma,31,2006-05-31
Oregon,47,2006-05-31
Pennsylvania,36,2006-05-31
Rhode Island,31,2006-05-31
