geoName,Mortgage,year
South Dakota,0,2006-04-30
Tennessee,18,2006-04-30
Texas,50,2006-04-30
Utah,0,2006-04-30
Vermont,0,2006-04-30
Virginia,38,2006-04-30
Washington,16,2006-04-30
West Virginia,0,2006-04-30
Wisconsin,13,2006-04-30
Wyoming,0,2006-04-30
Alabama,0,2006-05-31
Alaska,100,2006-05-31
Arizona,25,2006-05-31
Arkansas,62,2006-05-31
California,19,2006-05-31
Colorado,40,2006-05-31
Connecticut,19,2006-05-31
Delaware,0,2006-05-31
District of Columbia,28,2006-05-31
Florida,29,2006-05-31
Georgia,42,2006-05-31
Hawaii,51,2006-05-31
Idaho,0,2006-05-31
Illinois,6,2006-05-31
Indiana,0,2006-05-31
Iowa,0,2006-05-31
Kansas,0,2006-05-31
Kentucky,28,2006-05-31
Louisiana,32,2006-05-31
Maine,0,2006-05-31
Maryland,79,2006-05-31
Massachusetts,22,2006-05-31
Michigan,39,2006-05-31
Minnesota,41,2006-05-31
Mississippi,0,2006-05-31
Missouri,13,2006-05-31
Montana,0,2006-05-31
Nebraska,0,2006-05-31
Nevada,0,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,38,2006-05-31
New Mexico,0,2006-05-31
New York,21,2006-05-31
North Carolina,30,2006-05-31
North Dakota,0,2006-05-31
Ohio,32,2006-05-31
Oklahoma,35,2006-05-31
Oregon,33,2006-05-31
Pennsylvania,19,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,0,2006-05-31
South Dakota,0,2006-05-31
Tennessee,38,2006-05-31
Texas,23,2006-05-31
Utah,0,2006-05-31
Vermont,0,2006-05-31
Virginia,48,2006-05-31
Washington,42,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,59,2006-05-31
Wyoming,0,2006-05-31
Alabama,22,2006-06-30
Alaska,68,2006-06-30
Arizona,9,2006-06-30
Arkansas,0,2006-06-30
California,16,2006-06-30
Colorado,38,2006-06-30
Connecticut,100,2006-06-30
Delaware,0,2006-06-30
District of Columbia,10,2006-06-30
Florida,21,2006-06-30
Georgia,30,2006-06-30
Hawaii,0,2006-06-30
Idaho,54,2006-06-30
Illinois,20,2006-06-30
Indiana,32,2006-06-30
Iowa,0,2006-06-30
Kansas,23,2006-06-30
Kentucky,0,2006-06-30
Louisiana,0,2006-06-30
Maine,43,2006-06-30
Maryland,19,2006-06-30
Massachusetts,16,2006-06-30
Michigan,14,2006-06-30
Minnesota,0,2006-06-30
Mississippi,0,2006-06-30
Missouri,18,2006-06-30
Montana,0,2006-06-30
Nebraska,34,2006-06-30
Nevada,0,2006-06-30
New Hampshire,75,2006-06-30
New Jersey,35,2006-06-30
New Mexico,0,2006-06-30
New York,12,2006-06-30
North Carolina,7,2006-06-30
North Dakota,0,2006-06-30
Ohio,18,2006-06-30
Oklahoma,25,2006-06-30
Oregon,0,2006-06-30
Pennsylvania,33,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,0,2006-06-30
South Dakota,95,2006-06-30
Tennessee,40,2006-06-30
Texas,27,2006-06-30
Utah,23,2006-06-30
Vermont,65,2006-06-30
