geoName,Home,year
Florida,53,2006-06-30
Georgia,62,2006-06-30
Hawaii,41,2006-06-30
Idaho,45,2006-06-30
Illinois,35,2006-06-30
Indiana,25,2006-06-30
Iowa,39,2006-06-30
Kansas,63,2006-06-30
Kentucky,41,2006-06-30
Louisiana,58,2006-06-30
Maine,51,2006-06-30
Maryland,35,2006-06-30
Massachusetts,32,2006-06-30
Michigan,35,2006-06-30
Minnesota,46,2006-06-30
Mississippi,19,2006-06-30
Missouri,42,2006-06-30
Montana,86,2006-06-30
Nebraska,40,2006-06-30
Nevada,73,2006-06-30
New Hampshire,32,2006-06-30
New Jersey,49,2006-06-30
New Mexico,53,2006-06-30
New York,22,2006-06-30
North Carolina,53,2006-06-30
North Dakota,22,2006-06-30
Ohio,42,2006-06-30
Oklahoma,38,2006-06-30
Oregon,39,2006-06-30
Pennsylvania,36,2006-06-30
Rhode Island,28,2006-06-30
South Carolina,74,2006-06-30
South Dakota,32,2006-06-30
Tennessee,59,2006-06-30
Texas,56,2006-06-30
Utah,66,2006-06-30
Vermont,66,2006-06-30
Virginia,42,2006-06-30
Washington,52,2006-06-30
West Virginia,99,2006-06-30
Wisconsin,35,2006-06-30
Wyoming,23,2006-06-30
Alabama,36,2006-07-31
Alaska,57,2006-07-31
Arizona,48,2006-07-31
Arkansas,54,2006-07-31
California,28,2006-07-31
Colorado,33,2006-07-31
Connecticut,38,2006-07-31
Delaware,43,2006-07-31
District of Columbia,26,2006-07-31
Florida,41,2006-07-31
Georgia,48,2006-07-31
Hawaii,38,2006-07-31
Idaho,100,2006-07-31
Illinois,30,2006-07-31
Indiana,18,2006-07-31
Iowa,16,2006-07-31
Kansas,29,2006-07-31
Kentucky,15,2006-07-31
Louisiana,40,2006-07-31
Maine,20,2006-07-31
Maryland,43,2006-07-31
Massachusetts,17,2006-07-31
Michigan,30,2006-07-31
Minnesota,42,2006-07-31
Mississippi,57,2006-07-31
Missouri,39,2006-07-31
Montana,69,2006-07-31
Nebraska,35,2006-07-31
Nevada,45,2006-07-31
New Hampshire,40,2006-07-31
New Jersey,35,2006-07-31
New Mexico,31,2006-07-31
New York,23,2006-07-31
North Carolina,44,2006-07-31
North Dakota,44,2006-07-31
Ohio,23,2006-07-31
Oklahoma,34,2006-07-31
Oregon,38,2006-07-31
Pennsylvania,30,2006-07-31
Rhode Island,10,2006-07-31
South Carolina,44,2006-07-31
South Dakota,56,2006-07-31
Tennessee,44,2006-07-31
Texas,32,2006-07-31
Utah,24,2006-07-31
Vermont,15,2006-07-31
Virginia,27,2006-07-31
Washington,35,2006-07-31
West Virginia,35,2006-07-31
