geoName,Real Estate Investment,year
Mississippi,0,2006-05-31
Missouri,25,2006-05-31
Montana,0,2006-05-31
Nebraska,0,2006-05-31
Nevada,75,2006-05-31
New Hampshire,0,2006-05-31
New Jersey,0,2006-05-31
New Mexico,0,2006-05-31
New York,36,2006-05-31
North Carolina,20,2006-05-31
North Dakota,0,2006-05-31
Ohio,0,2006-05-31
Oklahoma,0,2006-05-31
Oregon,0,2006-05-31
Pennsylvania,13,2006-05-31
Rhode Island,0,2006-05-31
South Carolina,0,2006-05-31
South Dakota,0,2006-05-31
Tennessee,37,2006-05-31
Texas,30,2006-05-31
Utah,0,2006-05-31
Vermont,0,2006-05-31
Virginia,47,2006-05-31
Washington,17,2006-05-31
West Virginia,0,2006-05-31
Wisconsin,0,2006-05-31
Wyoming,0,2006-05-31
Alabama,0,2006-06-30
Alaska,0,2006-06-30
Arizona,100,2006-06-30
Arkansas,0,2006-06-30
California,23,2006-06-30
Colorado,43,2006-06-30
Connecticut,32,2006-06-30
Delaware,0,2006-06-30
District of Columbia,0,2006-06-30
Florida,23,2006-06-30
Georgia,23,2006-06-30
Hawaii,79,2006-06-30
Idaho,0,2006-06-30
Illinois,36,2006-06-30
Indiana,73,2006-06-30
Iowa,0,2006-06-30
Kansas,0,2006-06-30
Kentucky,42,2006-06-30
Louisiana,0,2006-06-30
Maine,0,2006-06-30
Maryland,21,2006-06-30
Massachusetts,12,2006-06-30
Michigan,32,2006-06-30
Minnesota,0,2006-06-30
Mississippi,0,2006-06-30
Missouri,42,2006-06-30
Montana,0,2006-06-30
Nebraska,0,2006-06-30
Nevada,0,2006-06-30
New Hampshire,0,2006-06-30
New Jersey,13,2006-06-30
New Mexico,0,2006-06-30
New York,16,2006-06-30
North Carolina,0,2006-06-30
North Dakota,0,2006-06-30
Ohio,13,2006-06-30
Oklahoma,0,2006-06-30
Oregon,55,2006-06-30
Pennsylvania,0,2006-06-30
Rhode Island,0,2006-06-30
South Carolina,0,2006-06-30
South Dakota,0,2006-06-30
Tennessee,30,2006-06-30
Texas,36,2006-06-30
Utah,0,2006-06-30
Vermont,0,2006-06-30
Virginia,41,2006-06-30
Washington,14,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,23,2006-06-30
Wyoming,0,2006-06-30
Alabama,0,2006-07-31
Alaska,0,2006-07-31
Arizona,32,2006-07-31
Arkansas,0,2006-07-31
California,19,2006-07-31
Colorado,17,2006-07-31
Connecticut,51,2006-07-31
Delaware,0,2006-07-31
District of Columbia,19,2006-07-31
Florida,6,2006-07-31
Georgia,9,2006-07-31
Hawaii,0,2006-07-31
Idaho,0,2006-07-31
Illinois,0,2006-07-31
Indiana,0,2006-07-31
Iowa,0,2006-07-31
Kansas,0,2006-07-31
Kentucky,0,2006-07-31
Louisiana,0,2006-07-31
Maine,0,2006-07-31
Maryland,17,2006-07-31
Massachusetts,0,2006-07-31
Michigan,0,2006-07-31
Minnesota,17,2006-07-31
Mississippi,0,2006-07-31
Missouri,0,2006-07-31
Montana,0,2006-07-31
Nebraska,0,2006-07-31
Nevada,100,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,11,2006-07-31
New Mexico,0,2006-07-31
New York,25,2006-07-31
North Carolina,39,2006-07-31
North Dakota,0,2006-07-31
Ohio,21,2006-07-31
Oklahoma,0,2006-07-31
Oregon,22,2006-07-31
Pennsylvania,26,2006-07-31
Rhode Island,0,2006-07-31
South Carolina,0,2006-07-31
South Dakota,0,2006-07-31
Tennessee,24,2006-07-31
Texas,29,2006-07-31
Utah,42,2006-07-31
Vermont,0,2006-07-31
Virginia,0,2006-07-31
Washington,0,2006-07-31
