Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA
10,2010,899647.0,0.75,12,9.3,180
11,2010,605282.0,0.75,12,9.3,83
12,2010,18846143.0,0.75,12,9.3,3038
13,2010,9712209.0,0.75,12,9.3,1240
15,2010,1364004.0,0.75,12,9.3,168
16,2010,1570819.0,0.75,12,9.3,168
17,2010,12840545.0,0.75,12,9.3,946
18,2010,6490555.0,0.75,12,9.3,640
19,2010,3050819.0,0.75,12,9.3,508
20,2010,2858266.0,0.75,12,9.3,312
21,2010,4348464.0,0.75,12,9.3,423
22,2010,4544635.0,0.75,12,9.3,984
23,2010,1327651.0,0.75,12,9.3,207
24,2010,5788784.0,0.75,12,9.3,599
25,2010,6566440.0,0.75,12,9.3,737
26,2010,9877597.0,0.75,12,9.3,554
27,2010,5310934.0,0.75,12,9.3,596
28,2010,2970615.0,0.75,12,9.3,459
29,2010,5996089.0,0.75,12,9.3,547
30,2010,990730.0,0.75,12,9.3,117
31,2010,1829591.0,0.75,12,9.3,311
32,2010,2702483.0,0.75,12,9.3,544
33,2010,1316807.0,0.75,12,9.3,208
34,2010,8799451.0,0.75,12,9.3,1349
35,2010,2064614.0,0.75,12,9.3,320
36,2010,19399956.0,0.75,12,9.3,2805
37,2010,9574586.0,0.75,12,9.3,1994
38,2010,674752.0,0.75,12,9.3,275
39,2010,11539449.0,0.75,12,9.3,648
