Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
50,2011,627197.0,0.75,7,9.0,149,434.61
51,2011,8102437.0,0.75,7,9.0,2729,391.95
53,2011,6827479.0,0.75,7,9.0,1771,385.3
54,2011,1856606.0,0.75,7,9.0,185,203.42
55,2011,5705840.0,0.75,7,9.0,862,293.27
56,2011,567491.0,0.75,7,9.0,201,264.56
1,2011,4799642.0,0.75,10,8.8,953,279.46
2,2011,722349.0,0.75,10,8.8,50,287.51
4,2011,6473416.0,0.75,10,8.8,943,238.02
5,2011,2941038.0,0.75,10,8.8,511,243.35
6,2011,37636311.0,0.75,10,8.8,3135,386.1
8,2011,5121900.0,0.75,10,8.8,1344,330.99
9,2011,3588632.0,0.75,10,8.8,187,393.79
10,2011,907590.0,0.75,10,8.8,223,410.18
11,2011,620290.0,0.75,10,8.8,240,574.6
12,2011,19055607.0,0.75,10,8.8,3418,272.54
13,2011,9803630.0,0.75,10,8.8,1660,258.38
15,2011,1379562.0,0.75,10,8.8,178,446.65
16,2011,1584272.0,0.75,10,8.8,342,264.3
17,2011,12867783.0,0.75,10,8.8,1514,299.98
18,2011,6517250.0,0.75,10,8.8,856,241.97
19,2011,3066772.0,0.75,10,8.8,657,246.83
20,2011,2869677.0,0.75,10,8.8,346,233.42
21,2011,4370817.0,0.75,10,8.8,639,283.72
22,2011,4576244.0,0.75,10,8.8,942,240.69
23,2011,1328473.0,0.75,10,8.8,227,450.67
24,2011,5840241.0,0.75,10,8.8,775,409.32
25,2011,6614218.0,0.75,10,8.8,826,603.61
26,2011,9883053.0,0.75,10,8.8,846,232.44
27,2011,5346620.0,0.75,10,8.8,835,298.11
28,2011,2979147.0,0.75,10,8.8,315,240.94
29,2011,6011182.0,0.75,10,8.8,611,270.42
30,2011,997518.0,0.75,10,8.8,356,347.58
31,2011,1840914.0,0.75,10,8.8,433,250.71
32,2011,2713114.0,0.75,10,8.8,289,186.84
33,2011,1320444.0,0.75,10,8.8,149,380.58
34,2011,8828552.0,0.75,10,8.8,1058,462.59
35,2011,2080707.0,0.75,10,8.8,310,286.56
36,2011,19499921.0,0.75,10,8.8,1616,563.02
37,2011,9658913.0,0.75,10,8.8,2469,301.82
38,2011,685526.0,0.75,10,8.8,535,267.89
39,2011,11545735.0,0.75,10,8.8,1796,237.27
40,2011,3788824.0,0.75,10,8.8,575,201.9
41,2011,3872672.0,0.75,10,8.8,810,348.16
42,2011,12747052.0,0.75,10,8.8,1380,366.89
44,2011,1053829.0,0.75,10,8.8,56,452.23
45,2011,4672655.0,0.75,10,8.8,1623,307.5
46,2011,823740.0,0.75,10,8.8,268,293.31
47,2011,6400298.0,0.75,10,8.8,908,281.83
48,2011,25645504.0,0.75,10,8.8,8174,219.75
49,2011,2814797.0,0.75,10,8.8,943,305.85
50,2011,627197.0,0.75,10,8.8,80,440.54
51,2011,8102437.0,0.75,10,8.8,1359,394.7
53,2011,6827479.0,0.75,10,8.8,1337,385.6
54,2011,1856606.0,0.75,10,8.8,137,204.51
55,2011,5705840.0,0.75,10,8.8,1158,294.35
56,2011,567491.0,0.75,10,8.8,103,264.52
1,2012,4816632.0,0.75,1,8.3,874,276.5
2,2012,730810.0,0.75,1,8.3,34,285.34
4,2012,6556344.0,0.75,1,8.3,1204,236.87
5,2012,2952876.0,0.75,1,8.3,362,242.82
6,2012,37944551.0,0.75,1,8.3,2116,381.79
8,2012,5193660.0,0.75,1,8.3,989,329.26
9,2012,3595211.0,0.75,1,8.3,154,387.28
10,2012,915518.0,0.75,1,8.3,320,407.11
11,2012,635737.0,0.75,1,8.3,34,578.42
12,2012,19302016.0,0.75,1,8.3,4676,267.12
13,2012,9903580.0,0.75,1,8.3,1676,251.77
15,2012,1395199.0,0.75,1,8.3,209,448.38
16,2012,1595910.0,0.75,1,8.3,322,261.83
17,2012,12883029.0,0.75,1,8.3,411,296.19
18,2012,6538989.0,0.75,1,8.3,551,239.71
19,2012,3076844.0,0.75,1,8.3,272,246.78
20,2012,2886024.0,0.75,1,8.3,209,231.65
21,2012,4387865.0,0.75,1,8.3,436,283.46
22,2012,4602067.0,0.75,1,8.3,889,239.46
23,2012,1328094.0,0.75,1,8.3,141,445.48
24,2012,5888375.0,0.75,1,8.3,894,403.46
25,2012,6664269.0,0.75,1,8.3,429,599.84
26,2012,9898289.0,0.75,1,8.3,450,227.88
27,2012,5377500.0,0.75,1,8.3,586,292.6
28,2012,2984599.0,0.75,1,8.3,354,238.62
29,2012,6026027.0,0.75,1,8.3,543,268.07
30,2012,1004168.0,0.75,1,8.3,90,349.4
31,2012,1853691.0,0.75,1,8.3,227,250.33
32,2012,2744670.0,0.75,1,8.3,428,184.99
33,2012,1324677.0,0.75,1,8.3,124,375.22
34,2012,8845671.0,0.75,1,8.3,950,456.29
35,2012,2087715.0,0.75,1,8.3,282,281.53
36,2012,19574362.0,0.75,1,8.3,1478,558.68
