,0,year,mo,1
7,New Jersey,2017,July,2462
8,New York,2017,July,2990
9,Pennsylvania,2017,July,1812
12,Illinois,2017,July,1419
13,Indiana,2017,July,1551
14,Michigan,2017,July,2113
15,Ohio,2017,July,1929
16,Wisconsin,2017,July,1694
18,Iowa,2017,July,915
19,Kansas,2017,July,607
20,Minnesota,2017,July,1590
21,Missouri,2017,July,1133
22,Nebraska,2017,July,1104
23,North Dakota,2017,July,309
24,South Dakota,2017,July,362
27,Delaware,2017,July,608
28,District of Columbia,2017,July,455
29,Florida,2017,July,9896
30,Georgia,2017,July,4311
31,Maryland,2017,July,1428
32,North Carolina,2017,July,6242
33,South Carolina,2017,July,3162
34,Virginia,2017,July,2669
35,West Virginia,2017,July,204
37,Alabama,2017,July,1159
38,Kentucky,2017,July,939
39,Mississippi,2017,July,665
40,Tennessee,2017,July,3192
42,Arkansas,2017,July,1087
43,Louisiana,2017,July,1137
44,Oklahoma,2017,July,773
45,Texas,2017,July,12493
48,Arizona,2017,July,2487
49,Colorado,2017,July,3089
50,Idaho,2017,July,928
51,Montana,2017,July,383
52,Nevada,2017,July,1576
53,New Mexico,2017,July,424
54,Utah,2017,July,2421
55,Wyoming,2017,July,140
57,Alaska,2017,July,119
58,California,2017,July,7950
59,Hawaii,2017,July,276
60,Oregon,2017,July,1800
61,Washington,2017,July,3593
0,Connecticut,2017,August,489
1,Maine,2017,August,505
2,Massachusetts,2017,August,1237
3,New Hampshire,2017,August,302
4,Rhode Island,2017,August,164
5,Vermont,2017,August,142
7,New Jersey,2017,August,2311
8,New York,2017,August,3324
9,Pennsylvania,2017,August,1658
12,Illinois,2017,August,2175
13,Indiana,2017,August,1685
14,Michigan,2017,August,2204
15,Ohio,2017,August,2890
16,Wisconsin,2017,August,1400
18,Iowa,2017,August,1574
19,Kansas,2017,August,1079
20,Minnesota,2017,August,2313
21,Missouri,2017,August,1956
22,Nebraska,2017,August,821
23,North Dakota,2017,August,314
24,South Dakota,2017,August,435
27,Delaware,2017,August,651
28,District of Columbia,2017,August,437
29,Florida,2017,August,10803
30,Georgia,2017,August,4901
31,Maryland,2017,August,1567
32,North Carolina,2017,August,6730
33,South Carolina,2017,August,3184
34,Virginia,2017,August,2786
35,West Virginia,2017,August,275
37,Alabama,2017,August,1186
38,Kentucky,2017,August,1184
39,Mississippi,2017,August,645
40,Tennessee,2017,August,4197
42,Arkansas,2017,August,917
43,Louisiana,2017,August,1262
44,Oklahoma,2017,August,839
